Date,"Bitcoin"
2021-06-13,18933
2021-06-14,19730
2021-06-15,17265
2021-06-16,17217
2021-06-17,15405
2021-06-18,14272
2021-06-19,13353
2021-06-20,14402
2021-06-21,17797
2021-06-22,19680
2021-06-23,15284
2021-06-24,15037
2021-06-25,13415
2021-06-26,12822
2021-06-27,12957
2021-06-28,12826
2021-06-29,12301
2021-06-30,11095
2021-07-01,12944
2021-07-02,10956
2021-07-03,10668
2021-07-04,11205
2021-07-05,11598
2021-07-06,12040
2021-07-07,10146
2021-07-08,10654
2021-07-09,11446
2021-07-10,11883
2021-07-11,13749
2021-07-12,13674
2021-07-13,14775
2021-07-14,12604
2021-07-15,10945
2021-07-16,10100
2021-07-17,9408
2021-07-18,10045
2021-07-19,10655
2021-07-20,12307
2021-07-21,11546
2021-07-22,11413
2021-07-23,10979
2021-07-24,9881
2021-07-25,11126
2021-07-26,14532
2021-07-27,11783
2021-07-28,11142
2021-07-29,13381
2021-07-30,12774
2021-07-31,12478
2021-08-01,12926
2021-08-02,15485
2021-08-03,18110
2021-08-04,13627
2021-08-05,11626
2021-08-06,9410
2021-08-07,10078
2021-08-08,9925
2021-08-09,11882
2021-08-10,12310
2021-08-11,12838
2021-08-12,13198
2021-08-13,12960
2021-08-14,12299
2021-08-15,11566
2021-08-16,14434
2021-08-17,12786
2021-08-18,12125
2021-08-19,13522
2021-08-20,11436
2021-08-21,10986
2021-08-22,11124
2021-08-23,13899
2021-08-24,13776
2021-08-25,13483
2021-08-26,11902
2021-08-27,11378
2021-08-28,10520
2021-08-29,10645
2021-08-30,11012
2021-08-31,11297
2021-09-01,10694
2021-09-02,12081
2021-09-03,12579
2021-09-04,11663
2021-09-05,13271
2021-09-06,12968
2021-09-07,21755
2021-09-08,20941
2021-09-09,19133
2021-09-10,16081
2021-09-11,12856
2021-09-12,14603
2021-09-13,13470
2021-09-14,13757
2021-09-15,13803
2021-09-16,14630
2021-09-17,15599
2021-09-18,16884
2021-09-19,16199
2021-09-20,15770
2021-09-21,16592
